api_context,name,method,path,summary,description,tags,roles,path_parameters,request_body,response_body,error_codes,route_pattern,source_file
v3_1_0,deleteWebUiProps,DELETE,/management/webui_props/WEB_UI_PROPS_ID,Delete WebUiProps,Delete a WebUiProps specified by WEB_UI_PROPS_ID. ${userAuthenticationMessage(true)} ,WebUiProps,DeleteWebUiProps,WEB_UI_PROPS_ID; _,,,UnknownError,"""management"" :: ""webui_props"" :: webUiPropsId :: Nil",APIMethods310.scala
v3_1_0,getBankAccountsBalances,GET,/banks/BANK_ID/balances,Get Accounts Balances,Get the Balances for the Accounts of the current User at one bank.,Consumer,DisableConsumers; EnableConsumers,BANK_ID,putEnabledJSON,,UnknownError,"""banks"" :: BankId(bankId) :: ""balances"" :: Nil",APIMethods310.scala
v3_1_0,enableDisableConsumers,PUT,/management/consumers/CONSUMER_ID,Enable or Disable Consumers,Enable/Disable a Consumer specified by CONSUMER_ID. ,Consumer,DisableConsumers; EnableConsumers,CONSUMER_ID,putEnabledJSON,,UnknownError,"""management"" :: ""consumers"" :: consumerId :: Nil",APIMethods310.scala
v4_0_0,getMapperDatabaseInfo,GET,/database/info,Get Mapper Database Info,Get basic information about the Mapper Database. ${userAuthenticationMessage(true)} ,Api,GetDatabaseInfo,,,,UnknownError,"""database"" :: ""info"" :: Nil",APIMethods400.scala
v4_0_0,callsLimit,PUT,/management/consumers/CONSUMER_ID/consumer/call-limits,Set Rate Limits / Call Limits per Consumer, Set the API rate limits / call limits for a Consumer: Rate limiting can be set: Per Second Per Minute Per Hour Per Week Per Month ${userAuthenticationMessage(true)} ,RateLimits; Consumer,SetCallLimits,CONSUMER_ID,,,UpdateConsumerError; ConsumerNotFound; UnknownError,"""management"" :: ""consumers"" :: consumerId :: ""consumer"" :: ""call-limits"" :: Nil",APIMethods400.scala
v4_0_0,getBanks,GET,/banks,Get Banks,Get banks on this API instance Returns a list of banks supported on this server: * ID used as parameter in URLs * Short and full name of bank * Logo URL * Website,,,,banksJSON400,banksJSON400,,"""banks"" :: BankId(bankId) :: Nil",APIMethods400.scala
v4_0_0,getBank,GET,/banks/BANK_ID,Get Bank,Get the bank specified by BANK_ID Returns information about a single bank specified by BANK_ID including: * Short and full name of bank * Logo URL * Website,,,BANK_ID,createBankJSON400,,,"""banks"" :: BankId(bankId) :: Nil",APIMethods400.scala
v4_0_0,ibanChecker,POST,/account/check/scheme/iban,Validate and check IBAN,Validate and check IBAN for errors ,,,,,,,"""account"" :: ""check"" :: ""scheme"" :: ""iban"" :: Nil",APIMethods400.scala
v4_0_0,getDoubleEntryTransaction,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transactions/TRANSACTION_ID/double-entry-transaction,Get Double Entry Transaction,"Get Double Entry Transaction This endpoint can be used to see the double entry transactions. It returns the `bank_id`, `account_id` and `transaction_id` for the debit end the credit transaction. The other side account can be a settlement account or an OBP account. The endpoint also provide the `transaction_request` object which contains the `bank_id`, `account_id` and `transaction_request_id` of the transaction request at the origin of the transaction. Please note that if none transaction reques",Transaction,GetDoubleEntryTransactionAtAnyBank; GetDoubleEntryTransactionAtOneBank,BANK_ID; ACCOUNT_ID; TRANSACTION_ID; VIEW_ID,,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""transactions"" :: TransactionId(transactionId) :: ""double-entry-transaction"" :: Nil",APIMethods400.scala
v4_0_0,getBalancingTransaction,GET,/transactions/TRANSACTION_ID/balancing-transaction,Get Balancing Transaction,Get Balancing Transaction ${userAuthenticationMessage(true)} ,Transaction,,TRANSACTION_ID,,,UnknownError,"""transactions"" :: TransactionId(transactionId) :: ""balancing-transaction"" :: Nil",APIMethods400.scala
v4_0_0,createSettlementAccount,POST,/banks/BANK_ID/settlement-accounts,Create Settlement Account,"Create a new settlement account at a bank. The created settlement account id will be the concatenation of the payment system and the account currency. For examples: SEPA_SETTLEMENT_ACCOUNT_EUR, CARD_SETTLEMENT_ACCOUNT_USD By default, when you create a new bank, two settlements accounts are created automatically: OBP_DEFAULT_INCOMING_ACCOUNT_ID and OBP_DEFAULT_OUTGOING_ACCOUNT_ID Those two accounts have EUR as default currency. If you want to create default settlement account for a specific curre",,,BANK_ID,,,,"""banks"" :: BankId(bankId) :: ""settlement-accounts"" :: Nil",APIMethods400.scala
v4_0_0,getSettlementAccounts,GET,/banks/BANK_ID/settlement-accounts,Get Settlement accounts at Bank,Get settlement accounts on this API instance Returns a list of settlement accounts at this Bank Note: a settlement account is considered as a bank account. So you can update it and add account attributes to it using the regular account endpoints ,Psd2; Bank,GetSettlementAccountAtOneBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""settlement-accounts"" :: Nil",APIMethods400.scala
v4_0_0,createTransactionRequestAccount,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/ACCOUNT/transaction-requests,Create Transaction Request (ACCOUNT),"When using ACCOUNT, the payee is set in the request body. Money goes into the BANK_ID and ACCOUNT_ID specified in the request body. $transactionRequestGeneralText ",Psd2; PSD2PIS; TransactionRequest,,BANK_ID; ACCOUNT_ID; ACCOUNT; VIEW_ID,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestAccountOtp,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/ACCOUNT_OTP/transaction-requests,Create Transaction Request (ACCOUNT_OTP),"When using ACCOUNT, the payee is set in the request body. Money goes into the BANK_ID and ACCOUNT_ID specified in the request body. $transactionRequestGeneralText ",Psd2; PSD2PIS; TransactionRequest,,BANK_ID; ACCOUNT_ID; VIEW_ID; ACCOUNT_OTP,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestSimple,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/SIMPLE/transaction-requests,Create Transaction Request (SIMPLE), Special instructions for SIMPLE: You can transfer money to the Bank Account Number or IBAN directly. $transactionRequestGeneralText ,Psd2; PSD2PIS; TransactionRequest,,BANK_ID; ACCOUNT_ID; VIEW_ID; SIMPLE,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestRefund,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/REFUND/transaction-requests,Create Transaction Request (REFUND)," Either the `from` or the `to` field must be filled. Those fields refers to the information about the party that will be refunded. In case the `from` object is used, it means that the refund comes from the part that sent you a transaction. In the `from` object, you have two choices : - Use `bank_id` and `account_id` fields if the other account is registered on the OBP-API - Use the `counterparty_id` field in case the counterparty account is out of the OBP-API In case the `to` object is used, it ",,,BANK_ID; ACCOUNT_ID; VIEW_ID; REFUND,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestAgentCashWithDrawal,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/AGENT_CASH_WITHDRAWAL/transaction-requests,Create Transaction Request (AGENT_CASH_WITHDRAWAL)," Either the `from` or the `to` field must be filled. Those fields refers to the information about the party that will be refunded. In case the `from` object is used, it means that the refund comes from the part that sent you a transaction. In the `from` object, you have two choices : - Use `bank_id` and `account_id` fields if the other account is registered on the OBP-API - Use the `counterparty_id` field in case the counterparty account is out of the OBP-API In case the `to` object is used, it ",,,BANK_ID; ACCOUNT_ID; VIEW_ID; AGENT_CASH_WITHDRAWAL,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestCard,POST,/transaction-request-types/CARD/transaction-requests,Create Transaction Request (CARD)," When using CARD, the payee is set in the request body . Money goes into the Counterparty in the request body. $transactionRequestGeneralText ",Psd2; PSD2PIS; TransactionRequest,,CARD,transactionRequestWithChargeJSON400,transactionRequestWithChargeJSON400,AccountNotFound; BankNotFound; BankAccountNotFound; UnknownError,"""transaction-request-types"" :: ""CARD"" :: ""transaction-requests"" :: Nil",APIMethods400.scala
v4_0_0,answerTransactionRequestChallenge,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/transaction-request-types/TRANSACTION_REQUEST_TYPE/transaction-requests/TRANSACTION_REQUEST_ID/challenge,Answer Transaction Request Challenge,"In Sandbox mode, any string that can be converted to a positive integer will be accepted as an answer. This endpoint totally depends on createTransactionRequest, it need get the following data from createTransactionRequest response body. 1)`TRANSACTION_REQUEST_TYPE` : is the same as createTransactionRequest request URL . 2)`TRANSACTION_REQUEST_ID` : is the `id` field in createTransactionRequest response body. 3) `id` : is `challenge.id` field in createTransactionRequest response body. 4) `answer",,,BANK_ID; TRANSACTION_REQUEST_ID; TRANSACTION_REQUEST_TYPE; VIEW_ID; ACCOUNT_ID,,,,N/A,APIMethods400.scala
v4_0_0,createTransactionRequestAttribute,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/transaction-requests/TRANSACTION_REQUEST_ID/attribute,Create Transaction Request Attribute,"Create Transaction Request Attribute The type field must be one of ""STRING"", ""INTEGER"", ""DOUBLE"" or DATE_WITH_DAY"" ${userAuthenticationMessage(true)} ",TransactionRequest,CreateTransactionRequestAttributeAtOneBank,BANK_ID; ACCOUNT_ID; TRANSACTION_REQUEST_ID,,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""transaction-requests"" :: TransactionRequestId(transactionRequestId) :: ""attribute"" :: Nil",APIMethods400.scala
v4_0_0,getTransactionRequestAttributeById,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/transaction-requests/TRANSACTION_REQUEST_ID/attributes/ATTRIBUTE_ID,Get Transaction Request Attribute By Id,Get Transaction Request Attribute By Id ${userAuthenticationMessage(true)} ,TransactionRequest,GetTransactionRequestAttributeAtOneBank,BANK_ID; ATTRIBUTE_ID; ACCOUNT_ID; TRANSACTION_REQUEST_ID,,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) ::  ""transaction-requests"" :: TransactionRequestId(transactionRequestId) :: ""attributes"" :: transactionRequestAttributeId :: Nil",APIMethods400.scala
v4_0_0,getTransactionRequestAttributes,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/transaction-requests/TRANSACTION_REQUEST_ID/attributes,Get Transaction Request Attributes,Get Transaction Request Attributes ${userAuthenticationMessage(true)} ,TransactionRequest,GetTransactionRequestAttributesAtOneBank,BANK_ID; ACCOUNT_ID; TRANSACTION_REQUEST_ID,,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""transaction-requests"" :: TransactionRequestId(transactionRequestId) :: ""attributes"" :: Nil",APIMethods400.scala
v4_0_0,updateTransactionRequestAttribute,PUT,/banks/BANK_ID/accounts/ACCOUNT_ID/transaction-requests/TRANSACTION_REQUEST_ID/attributes/ATTRIBUTE_ID,Update Transaction Request Attribute,Update Transaction Request Attribute ${userAuthenticationMessage(true)} ,TransactionRequest,UpdateTransactionRequestAttributeAtOneBank,BANK_ID; ATTRIBUTE_ID; ACCOUNT_ID; TRANSACTION_REQUEST_ID,,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""transaction-requests"" :: TransactionRequestId(transactionRequestId) :: ""attributes"" :: transactionRequestAttributeId :: Nil",APIMethods400.scala
v4_0_0,createOrUpdateTransactionRequestAttributeDefinition,PUT,/banks/BANK_ID/attribute-definitions/transaction-request,Create or Update Transaction Request Attribute Definition,"Create or Update Transaction Request Attribute Definition The category field must be ${AttributeCategory.TransactionRequest} The type field must be one of: ${AttributeType.DOUBLE}, ${AttributeType.STRING}, ${AttributeType.INTEGER} and ${AttributeType.DATE_WITH_DAY} ${userAuthenticationMessage(true)} ",TransactionRequest,CreateTransactionRequestAttributeDefinitionAtOneBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""attribute-definitions"" :: ""transaction-request"" :: Nil",APIMethods400.scala
v4_0_0,getTransactionRequestAttributeDefinition,GET,/banks/BANK_ID/attribute-definitions/transaction-request,Get Transaction Request Attribute Definition,Get Transaction Request Attribute Definition ${userAuthenticationMessage(true)} ,TransactionRequest,GetTransactionRequestAttributeDefinitionAtOneBank,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""attribute-definitions"" :: ""transaction-request"" :: Nil",APIMethods400.scala
v4_0_0,deleteTransactionRequestAttributeDefinition,DELETE,/banks/BANK_ID/attribute-definitions/ATTRIBUTE_DEFINITION_ID/transaction-request,Delete Transaction Request Attribute Definition,Delete Transaction Request Attribute Definition by ATTRIBUTE_DEFINITION_ID ${userAuthenticationMessage(true)} ,TransactionRequest,DeleteTransactionRequestAttributeDefinitionAtOneBank,BANK_ID; ATTRIBUTE_DEFINITION_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""attribute-definitions"" :: attributeDefinitionId :: ""transaction-request"" :: Nil",APIMethods400.scala
v4_0_0,getSystemDynamicEntities,GET,/management/system-dynamic-entities,Get System Dynamic Entities,Get all System Dynamic Entities,,GetSystemLevelDynamicEntities,,,,,"""management"" :: ""system-dynamic-entities"" :: Nil",APIMethods400.scala
v4_0_0,getBankLevelDynamicEntities,GET,/management/banks/BANK_ID/dynamic-entities,Get Bank Level Dynamic Entities,Get all the bank level Dynamic Entities for one bank.,,GetBankLevelDynamicEntities,BANK_ID,,,,"""management"" :: ""banks"" :: bankId :: ""dynamic-entities"" :: Nil",APIMethods400.scala
v4_0_0,deleteSystemDynamicEntity,DELETE,/management/system-dynamic-entities/DYNAMIC_ENTITY_ID,Delete System Level Dynamic Entity,Delete a DynamicEntity specified by DYNAMIC_ENTITY_ID. ,Api; ManageDynamicEntity,DeleteSystemLevelDynamicEntity,DYNAMIC_ENTITY_ID,,,UnknownError,"""management"" :: ""system-dynamic-entities"" :: dynamicEntityId :: Nil",APIMethods400.scala
v4_0_0,deleteBankLevelDynamicEntity,DELETE,/management/banks/BANK_ID/dynamic-entities/DYNAMIC_ENTITY_ID,Delete Bank Level Dynamic Entity,Delete a Bank Level DynamicEntity specified by DYNAMIC_ENTITY_ID. ,Api; ManageDynamicEntity,DeleteBankLevelDynamicEntity,BANK_ID; DYNAMIC_ENTITY_ID,,,BankNotFound; UnknownError,"""management"" :: ""banks"" :: bankId :: ""dynamic-entities"" :: dynamicEntityId :: Nil",APIMethods400.scala
v4_0_0,getMyDynamicEntities,GET,/my/dynamic-entities,Get My Dynamic Entities,Get all my Dynamic Entities.,,,,,,,"""my"" :: ""dynamic-entities"" :: Nil",APIMethods400.scala
v4_0_0,deleteMyDynamicEntity,DELETE,/my/dynamic-entities/DYNAMIC_ENTITY_ID,Delete My Dynamic Entity,Delete my DynamicEntity specified by DYNAMIC_ENTITY_ID. ,Api; ManageDynamicEntity,,DYNAMIC_ENTITY_ID,,,UnknownError,"""my"" :: ""dynamic-entities"" :: dynamicEntityId :: Nil",APIMethods400.scala
v4_0_0,resetPasswordUrl,POST,/management/user/reset-password-url,Create password reset url,Create password reset url. ,User,CreateResetPasswordUrl,,,,UnknownError,"""management"" :: ""user"" :: ""reset-password-url"" :: Nil",APIMethods400.scala
v4_0_0,addAccount,POST,/banks/BANK_ID/accounts,Create Account (POST),"Create Account at bank specified by BANK_ID. The User can create an Account for themself - or - the User that has the USER_ID specified in the POST body. If the POST body USER_ID *is* specified, the logged in user must have the Role CanCreateAccount. Once created, the Account will be owned by the User specified by USER_ID. If the POST body USER_ID is *not* specified, the account will be owned by the logged in User. The 'product_code' field SHOULD be a product_code from Product. If the product_co",Account,CreateAccount,BANK_ID,,,UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: Nil",APIMethods400.scala
v4_0_0,getCallContext,GET,/development/call_context,Get the Call Context of a current call,Get the Call Context of the current call. ,Api,GetCallContext,_,,,UnknownError,"""development"" :: ""call_context"" :: Nil",APIMethods400.scala
v4_0_0,verifyRequestSignResponse,GET,/development/echo/jws-verified-request-jws-signed-response,Verify Request and Sign Response of a current call,Verify Request and Sign Response of a current call. ,Api,,,,,UnknownError,"""development"" :: ""echo"":: ""jws-verified-request-jws-signed-response"" :: Nil",APIMethods400.scala
v4_0_0,lockUser,POST,/users/USERNAME/locks,Lock the user, Lock a User. ${userAuthenticationMessage(true)} ,User,LockUser,USERNAME,,,UserNotFound; UnknownError,"""users"" :: username ::  ""locks"" :: Nil",APIMethods400.scala
v4_0_0,createUserWithRoles,POST,/user-entitlements,Create (DAuth) User with Roles," This endpoint is used as part of the DAuth solution to grant Entitlements for Roles to a smart contract on the blockchain. Put the smart contract address in username For provider use ""dauth"" This endpoint will create the User with username and provider if the User does not already exist. Then it will create Entitlements i.e. grant Roles to the User. Entitlements are used to grant System or Bank level roles to Users. (For Account level privileges, see Views) i.e. Entitlements are used to create ",,,,,,UnknownError,"case ""user-entitlements"" :: Nil JsonPost",APIMethods400.scala
v4_0_0,getEntitlementsForBank,GET,/banks/BANK_ID/entitlements,Get Entitlements for One Bank, ,Entitlement; Role; User,GetEntitlementsForOneBank; GetEntitlementsForAnyBank,BANK_ID,createEntitlementJSONs,,UnknownError,"""banks"" :: bankId :: ""entitlements"" :: Nil",APIMethods400.scala
v4_0_0,addTagForViewOnAccount,POST,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/metadata/tags,Create a tag on account,Posts a tag about an account ACCOUNT_ID on a [view](#1_2_1-getViewsForBankAccount) VIEW_ID. ${userAuthenticationMessage(true)} Authentication is required as the tag is linked with the user.,Account; AccountMetadata,,BANK_ID; ACCOUNT_ID; VIEW_ID,postAccountTagJSON,,BankNotFound; BankAccountNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""metadata"" :: ""tags"" :: Nil",APIMethods400.scala
v4_0_0,deleteTagForViewOnAccount,DELETE,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/metadata/tags/TAG_ID,Delete a tag on account,Deletes the tag TAG_ID about the account ACCOUNT_ID made on [view](#1_2_1-getViewsForBankAccount). ${userAuthenticationMessage(true)} Authentication is required as the tag is linked with the user.,Account; AccountMetadata,,BANK_ID; ACCOUNT_ID; TAG_ID; VIEW_ID,accountTagsJSON,,BankNotFound; BankAccountNotFound; ViewNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""metadata"" :: ""tags"" :: tagId :: Nil",APIMethods400.scala
v4_0_0,getCoreAccountById,GET,/my/banks/BANK_ID/accounts/ACCOUNT_ID/account,Get Account by Id (Core),Information returned about the account specified by ACCOUNT_ID: * Number - The human readable account number given by the bank that identifies the account. * Label - A label given by the owner of the account * Owners - Users that own this account * Type - The type of account * Balance - Currency and Value * Account Routings - A list that might include IBAN or national account identifiers * Account Rules - A list that might include Overdraft and other bank specific rules * Tags - A list of Tags a,,,BANK_ID; ACCOUNT_ID,,,,"""my"" :: ""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""account"" :: Nil",APIMethods400.scala
v4_0_0,getPrivateAccountByIdFull,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/VIEW_ID/account,Get Account by Id (Full),Information returned about an account specified by ACCOUNT_ID as moderated by the view (VIEW_ID): * Number * Owners * Type * Balance * IBAN * Available views (sorted by short_name) More details about the data moderation by the view [here](#1_2_1-getViewsForBankAccount). PSD2 Context: PSD2 requires customers to have access to their account information via third party applications. This call provides balance and other account information via delegated authentication using OAuth. Authentication is ,,,BANK_ID; ACCOUNT_ID; VIEW_ID,moderatedAccountJSON400,moderatedAccountJSON400,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ViewId(viewId) :: ""account"" :: Nil",APIMethods400.scala
v4_0_0,getAccountByAccountRouting,POST,/management/accounts/account-routing-query,Get Account by Account Routing,"This endpoint returns the account (if it exists) linked with the provided scheme and address. The `bank_id` field is optional, but if it's not provided, we don't guarantee that the returned account is unique across all the banks. Example of account routing scheme: `IBAN`, ""OBP"", ""AccountNumber"", ... Example of account routing address: `DE17500105178275645584`, ""321774cc-fccd-11ea-adc1-0242ac120002"", ""55897106215"", ... ",,,,moderatedAccountJSON400,moderatedAccountJSON400,BankNotFound; BankAccountNotFound; UnknownError,"""management"" :: ""accounts"" :: ""account-routing-query"" :: Nil",APIMethods400.scala
v4_0_0,getAccountsByAccountRoutingRegex,POST,/management/accounts/account-routing-regex-query,Get Accounts by Account Routing Regex,"This endpoint returns an array of accounts matching the provided routing scheme and the routing address regex. The `bank_id` field is optional. Example of account routing scheme: `IBAN`, `OBP`, `AccountNumber`, ... Example of account routing address regex: `DE175.*`, `55897106215-[A-Z]{3}`, ... This endpoint can be used to retrieve multiples accounts matching a same account routing address pattern. For example, if you want to link multiple accounts having different currencies, you can create an ",,,,moderatedAccountsJSON400,moderatedAccountsJSON400,BankNotFound; BankAccountNotFound; UnknownError,"""management"" :: ""accounts"" :: ""account-routing-regex-query"" :: Nil",APIMethods400.scala
v4_0_0,getBankAccountsBalancesForCurrentUser,GET,/banks/BANK_ID/balances,Get Accounts Balances,Get the Balances for the Accounts of the current User at one bank.,,,BANK_ID,,,,"""banks"" :: BankId(bankId) :: ""balances"" :: Nil",APIMethods400.scala
v4_0_0,getBankAccountBalancesForCurrentUser,GET,/banks/BANK_ID/accounts/ACCOUNT_ID/balances,Get Account Balances,Get the Balances for one Account of the current User at one bank.,,,BANK_ID; ACCOUNT_ID,,,,"""banks"" :: BankId(bankId) :: ""accounts"" :: AccountId(accountId) :: ""balances"" :: Nil",APIMethods400.scala
v4_0_0,getFirehoseAccountsAtOneBank,GET,/banks/BANK_ID/firehose/accounts/views/VIEW_ID,Get Firehose Accounts at Bank," Get Accounts which have a firehose view assigned to them. This endpoint allows bulk access to accounts. Requires the CanUseFirehoseAtAnyBank Role To be shown on the list, each Account must have a firehose View linked to it. A firehose view has is_firehose = true For VIEW_ID try 'owner' optional request parameters for filter with attributes URL params example: /banks/some-bank-id/firehose/accounts/views/owner?&limit=50&offset=1 to invalid Browser cache, add timestamp query parameter as follow, t",FirehoseData; AccountFirehose; Account,UseAccountFirehose; UseAccountFirehoseAtAnyBank,BANK_ID; VIEW_ID,,,BankNotFound,N/A,APIMethods400.scala
v4_0_0,getFastFirehoseAccountsAtOneBank,GET,/management/banks/BANK_ID/fast-firehose/accounts,Get Fast Firehose Accounts at Bank," This endpoint allows bulk access to accounts. optional pagination parameters for filter with accounts ${urlParametersDocument(true, false)} ${userAuthenticationMessage(true)} ",FirehoseData; AccountFirehose; Account,UseAccountFirehose; UseAccountFirehoseAtAnyBank,BANK_ID,createFirehoseBankAccountJSON,,BankNotFound,N/A,APIMethods400.scala
v4_0_0,getCustomersByCustomerPhoneNumber,POST,/banks/BANK_ID/search/customers/mobile-phone-number,Get Customers by MOBILE_PHONE_NUMBER,"Gets the Customers specified by MOBILE_PHONE_NUMBER. There are two wildcards often used in conjunction with the LIKE operator: % - The percent sign represents zero, one, or multiple characters _ - The underscore represents a single character For example {""customer_phone_number"":""%381%""} lists all numbers which contain 381 sequence ",Customer; Kyc,GetCustomer,BANK_ID,,,UserCustomerLinksNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""search""  :: ""customers"" :: ""mobile-phone-number"" :: Nil",APIMethods400.scala
v4_0_0,getCurrentUserId,GET,/users/current/user_id,Get User Id (Current),Get the USER_ID of the logged in user ${userAuthenticationMessage(true)},User,GetAnyUser,_,,,UnknownError,"""users"" :: ""current"" :: ""user_id"" :: Nil",APIMethods400.scala
v4_0_0,getUserByUserId,GET,/users/user_id/USER_ID,Get User by USER_ID,"Get user by USER_ID ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,USER_ID; _,createUserInfoJSON,,UserNotFound; UnknownError,"""users"" :: ""user_id"" :: userId :: Nil",APIMethods400.scala
v4_0_0,getUserByUsername,GET,/users/username/USERNAME,Get User by USERNAME,"Get user by USERNAME ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,USERNAME,createUserInfoJSON,,UserNotFound; UnknownError,"""users"" :: ""username"" :: username :: Nil",APIMethods400.scala
v4_0_0,getUsersByEmail,GET,/users/email/EMAIL/terminator,Get Users by Email Address,"Get users by email address ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ",User,GetAnyUser,EMAIL,,,UserNotFound; UnknownError,"""users"" :: ""email"" :: email :: ""terminator"" :: Nil",APIMethods400.scala
v4_0_0,getUsers,GET,/users,Get all Users,"Get all users ${userAuthenticationMessage(true)} CanGetAnyUser entitlement is required, ${urlParametersDocument(false, false)} * locked_status (if null ignore) ",User,GetAnyUser,,,,UnknownError,"case ""users"" :: Nil JsonGet",APIMethods400.scala
v4_0_0,createUserInvitation,POST,/banks/BANK_ID/user-invitation,Create User Invitation,"Create User Invitation. This endpoint will send an invitation email to the developers, then they can use the link to create the obp user. purpose filed only support:${UserInvitationPurpose.values.toString()}. You can customise the email details use the following webui props: when purpose == ${UserInvitationPurpose.DEVELOPER.toString} webui_developer_user_invitation_email_subject webui_developer_user_invitation_email_from webui_developer_user_invitation_email_text webui_developer_user_invitation_",Kyc; UserInvitation,,BANK_ID,,,BankNotFound; UserCustomerLinksNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""user-invitation"" :: Nil",APIMethods400.scala
v4_0_0,getUserInvitationAnonymous,POST,/banks/BANK_ID/user-invitations,Get User Invitation Information,Get User Invitation Information. ${userAuthenticationMessage(false)} ,Kyc; UserInvitation,,BANK_ID,,,BankNotFound; UserCustomerLinksNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""user-invitations"" :: Nil",APIMethods400.scala
v4_0_0,getUserInvitation,GET,/banks/BANK_ID/user-invitations/SECRET_LINK,Get User Invitation,Get User Invitation ${userAuthenticationMessage(true)} ,UserInvitation,GetUserInvitation,BANK_ID; SECRET_LINK,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""user-invitations"" :: secretLink :: Nil",APIMethods400.scala
v4_0_0,getUserInvitations,GET,/banks/BANK_ID/user-invitations,Get User Invitations,Get User Invitations ${userAuthenticationMessage(true)} ,UserInvitation,GetUserInvitation,BANK_ID,,,BankNotFound; UnknownError,"""banks"" :: BankId(bankId) :: ""user-invitations"" :: Nil",APIMethods400.scala
v4_0_0,deleteUser,DELETE,/users/USER_ID,Delete a User,Delete a User. ${userAuthenticationMessage(true)} ,User,DeleteUser,USER_ID,,,UnknownError,"""users"" :: userId :: Nil",APIMethods400.scala
v4_0_0,createBank,POST,/banks,Create Bank,"Create a new bank (Authenticated access). The user creating this will be automatically assigned the Role CanCreateEntitlementAtOneBank. Thus the User can manage the bank they create and assign Roles to other Users. Only SANDBOX mode The settlement accounts are created specified by the bank in the POST body. Name and account id are created in accordance to the next rules: - Incoming account (name: Default incoming settlement account, Account ID: OBP_DEFAULT_INCOMING_ACCOUNT_ID, currency: EUR) - O",Bank,CreateBank,,,,UnknownError,"case ""banks"" :: Nil JsonPost",APIMethods400.scala
